cci_c,lic_c
100.6,101
101.5,100.9
101.9,100.8
103.2,100.6
103.2,100.5
103.1,100.3
103,100.2
102.6,100
102.6,99.9
102.1,99.7
101.8,99.5
101.4,99.4
101.1,99.2
101.2,99.4
101.5,99.3
101.7,99.6
101.9,99
102.2,99.3
102,98.9
101.1,98.7
99.8,97.7
98.6,97.5
98.4,97
97.8,96.5
96.2,95.9
95.4,95.5
94.6,95.6
95.5,95.7
95.4,96.3
95.9,96.6
95.8,97.3
96,98.1
96.9,99.7
97.4,101.2
98.2,102.7
99.3,103.6
100.4,105.5
100.5,107
100.3,109.1
101.1,109.2
102.1,109.4
102.3,108.8
102.5,109.4
103.5,109.9
104.7,109.3
105.6,108.4
105.6,107.1
105.2,106.2
105.2,105.7
106.1,104.5
105.3,103
103.9,101.1
104,99.7
103.9,98.8
104.4,98.2
103.2,97.1
101.9,96.7
100.1,96.1
99.5,96.4
99.4,97.5
99.5,96.5
100.1,96.6
99.8,96.4
99.3,97.3
98.6,98.6
98.2,99.3
97.4,99.8
98.4,99.6
98.1,99.3
98.5,99.9
98.8,99.9
99.1,100
99.7,100.3
99.5,100.8
99.4,101.5
99,102.1
99.2,101.9
99.6,101.3
101,101
101.5,100.9
101.3,100.4
99.8,100
99.3,99.7
98.5,99.8
98,99.6
97.9,99.2
97.6,98.6
97.9,98.5
97.3,98.6
98.1,99.8
97.3,100.3
97.8,100.7
97.3,100.4
98,100.4
98.1,100.9
99.2,101.2
100.6,101.8
101.3,102.6
101.4,103.2
101.4,103.7
101.6,103.8
101.7,103.2
101.9,103
102.7,103
103.4,103.3
103.7,103.1
104,103.2
104.4,103
105.1,103.8
105,103.2
104.8,102.5
103.9,101.1
104,99.5
103.4,99.1
103.3,98.8
102.5,98.6
102.2,98.8
102.4,98.6
102.4,97.9
102.5,97.6
102.4,97.6
101.8,98.1
101.2,98.4
100.3,98.9
99.6,98.9
98.7,99.4
98.4,99.2
98.4,99.2
97.9,99
98.1,99
97.9,99.1
98.5,99.4
99.1,99.9
99.7,100.3
100.6,100.6
101,100.8
101.4,101.2
101.4,101.6
101.4,101.5
101.5,101.5
101.3,101.4
101.4,101.3
101,100.9
100.8,100.4
100.4,100.1
99.8,99.8
99.5,99.9
99.2,99.7
99,99.5
99.1,99.2
99.2,99.4
98.9,99.6
99.5,99.9
99.3,100
99.7,100.2
99.7,100.3
99.9,100.9
100,101
100,101.1
99.8,100.7
100.3,101.4
100.7,101.6
100.8,101.7
100.9,101.3
100.9,101.3
101.1,101.2
101.3,101.1
101.3,100.9
101.7,100.9
101.5,100.6
101.7,100.6
101.4,100.5
101.4,100.6
101.6,100.4
101.5,100.3
101.3,100.1
100.7,99.6
100,99.7
99.4,100.2
99.2,100.3
98.5,100.2
98.4,100
98.2,100
98.5,100.1
98.7,99.7
98.7,99.6
98.5,99.5
98.1,99.7
97.7,99.8
97.7,99.7
98.1,99.8
98.7,99.9
98.8,99.9
98.9,99.9
98.8,100.1
99.1,100.4
99.9,100.6
100.3,100.7
100.4,100.6
100.5,100.7
100.4,100.7
100.2,100.8
100,100.6
99.9,100.5
99.7,100.3
99.8,100.4
100.3,100.5
100.6,100.4
101.2,100.3
101.7,100.1
101.9,100.2
100.9,100
100.2,100.1
100.4,100.2
101.5,100.3
102.1,100.5
102,100.3
102.1,100.3
101.6,100.1
100.9,100
100.2,99.8
99.9,99.6
99.6,99.6
99.9,99.8
99.9,99.7
100.2,99.3
100,98.8
99.5,98.6
99.4,98.8
99.2,99
99.2,99.2
98.8,99.5
98.6,99.8
98.6,100.1
99,100.1
99.6,100
100.1,100.1
100,100.2
99.9,100.3
99.7,100.2
99.6,100.4
99.8,100.3
99.9,100.3
100.2,100.2
100.2,100.2
100.1,100.2
100,100.5
100.3,100.9
100.5,101.4
100.4,101.9
100.6,102
100.5,102
100.9,101.7
101.4,101.5
101.4,101.3
101.5,101
101.6,101.1
101.5,101
101.5,101
101.6,100.6
101.8,100.3
102,100.1
102.1,99.8
101.8,99.6
101.6,99.2
101.3,99.1
101.1,99.1
101.1,98.8
100.6,98.9
100.3,98.6
100,98.5
99.6,98
99,97.8
98.6,97.7
98.1,98.2
97.9,98.5
97.8,98.8
97.2,98.5
97,98.5
96.8,98.6
96.9,98.6
97.2,98.9
97.4,98.8
97.5,98.7
97.7,98.3
97.8,98.7
98,99.3
98.1,100.1
98.4,100.8
98.4,101.4
98.5,101.7
98.6,101.8
98.7,101.9
99,102
99.1,102
99.2,102.1
99.2,102.5
99.6,103.1
100.1,103.6
100.5,104.4
100.8,104.4
101,104.7
101.3,104.1
101.5,104.4
101.9,104.1
102.3,104.2
102.5,104.7
103,104.9
103.4,104.8
103.6,104.6
103.7,104.6
104.2,104.5
104.4,104.1
104.9,103.6
104.7,103.6
104.9,103.2
105.2,102.9
105,102.1
104.8,102
104.5,101.7
104.6,101
104.7,100.1
104.8,99.7
104.8,100.3
104.3,100
104.3,100.3
104.1,100.5
104.6,101.2
104.6,101
104.5,101.2
104.3,101.1
104.4,101.2
104.3,100.9
103.9,100.3
103.5,99.2
102.6,96.7
100.9,94
98.8,92.5
96.8,92.6
95.7,93.3
94.9,93.4
94.2,93.3
93.6,93.6
93.2,94.2
93.5,94.6
94.5,95.1
95.7,95.6
96.3,96.4
96.6,97.4
96.8,98.6
97.1,99.6
97.4,100.5
97.7,101.3
98.3,102.5
99.1,103.6
99.5,104
100,104
100.1,103.6
100.5,103.9
100.4,103.7
100.4,104.6
100.5,104.5
100.6,104.5
100.8,103.7
101.1,103.3
101.4,103.2
102.3,103
102.1,103.3
101.8,102.4
101,100.8
100.4,98.4
99.8,97
99.5,96.5
99.2,96.5
99.1,96.7
98.9,96.9
99.2,97.5
99.3,97.8
98.8,97.6
98.7,97.1
99.2,97
99.6,97.4
100,98.6
99.7,100
100.2,101.7
100.8,103
101.4,104.4
101.4,104.7
101.4,104.5
101.3,103.5
101.3,103
101.2,102.5
101.5,102.1
101.3,101.4
101.6,101.4
101.5,101.5
101.4,101.4
100.9,100.5
100.4,99.3
99.8,98.8
99.7,98.6
99.7,99.5
99.7,99.5
99.7,99.9
99.8,99.8
100.3,100.1
100.6,100.1
100.9,100.1
101.2,100.4
101.6,100.5
101.7,100.3
101.6,100.3
101,100.1
100.7,99.9
100.2,99.6
99.6,99.3
99.5,98.9
99.3,98.8
99.2,98.7
98.6,98.9
98.5,98.8
98.3,99.2
98.4,99.7
98.3,99.7
98.4,99.6
98.5,99.3
98.6,99.4
98.6,99.3
98.5,99.3
98.5,99.1
99.1,99.5
99.6,100
100.1,100.8
99.7,100.9
99.8,100.9
99.7,100.5
99.9,100.5
99.8,100.2
99,99.7
99,99.4
99.3,100
100.7,100.7
101.2,101.2
101.6,101.1
101.2,101.4
101.4,101.6
101.4,101.7
101.6,101.6
101.7,101.8
101.8,102.2
102,102.7
102.2,103
102.1,103
102.3,102.9
102.5,102.8
102.9,102.7
103.2,102.2
103.2,101.3
103.1,100.4
102.7,99.7
102.3,99
101.5,97.8
101,96.8
100.8,96.3
100.8,96.9
100.4,97
99.1,96.6
97,96.6
95.5,96.7
95.1,97.2
95.5,97.5
96.3,99
96.5,100.1
97.7,101.6
98.1,101.8
98.4,102.1
98.7,102.4
99.2,103.1
99.5,103.9
99.5,104.2
99.5,104.3
99.9,103.7
100.2,103.2
100.5,102.8
101,102.9
101.1,102.9
101.3,103
101.1,102.6
100.6,102.3
100,101.2
100,100.8
100.4,100.3
101.1,100.8
100.9,100.7
101,100.4
100.6,99.6
101,99.4
101.2,99.4
101.3,99.5
101.4,99.3
101,99
101,98.7
100.5,98.3
100.5,98.1
100.2,98.5
100.6,99.2
100.5,99.2
100.4,99.4
100.2,99.1
100.2,99.7
100.5,99.8
100,99.5
100.1,98.9
99.6,98.8
99.8,99.1
100,99.4
100,99.2
100,99.2
99.7,99.3
99.9,99.5
99.8,99.7
100.1,100.3
100.1,100.5
100.3,100.7
100.1,100.4
100.2,100.8
100.2,101.1
100.4,101.5
100.7,101.6
100.6,101.5
100.7,101.3
100.5,101.4
100.1,101.3
100.1,101.5
100.1,101.6
