lci,cci,lcic,ccic
9.4,9.1,,100.7
9.4,9.2,,101.5
9.4,9.4,,101.9
9.5,9.6,,103.2
9.5,9.7,,103.1
9.6,9.7,,103.1
9.6,9.8,,103
9.6,9.9,,102.6
9.7,10,,102.6
9.7,10,,102.1
9.8,10.1,,101.8
9.8,10.1,,101.4
9.9,10.2,,101.1
9.9,10.3,,101.2
10,10.4,,101.4
10.1,10.6,,101.7
10.1,10.7,,101.8
10.2,10.8,5.9,102.2
10.2,10.9,5.6,101.9
10.2,10.9,5.6,101.1
10.2,10.9,4.7,99.8
10.2,10.8,4.5,98.6
10.2,10.9,4.1,98.4
10.2,11,3.7,97.8
10.2,10.9,3.1,96.1
10.2,10.9,2.9,95.4
10.3,10.9,3.2,94.6
10.4,11.1,3.5,95.5
10.5,11.2,4.3,95.4
10.6,11.4,4.9,95.8
10.7,11.5,5.9,95.8
10.9,11.6,7.1,96
11.1,11.8,9.3,96.9
11.4,12,11.2,97.4
11.6,12.2,13.1,98.1
11.7,12.5,14.2,99.3
12,12.7,16.5,100.4
12.3,12.9,18.1,100.5
12.6,13,20.2,100.3
12.7,13.2,20,101.1
12.8,13.4,19.5,102.1
12.8,13.6,18.2,102.3
12.9,13.8,17.9,102.5
13,14,17.3,103.5
13.1,14.3,15.4,104.7
13,14.6,13.2,105.6
12.9,14.7,10.6,105.6
12.9,14.8,8.5,105.2
12.9,14.9,7,105.2
12.8,15.2,4.8,106
12.7,15.2,2.5,105.2
12.5,15.2,0,103.9
12.4,15.3,-1.7,103.9
12.4,15.5,-2.8,103.9
12.4,15.7,-3.5,104.4
12.3,15.6,-4.4,103.1
12.3,15.6,-4.3,101.8
12.3,15.4,-4.3,100.1
12.4,15.5,-3.3,99.5
12.6,15.6,-1.4,99.3
12.6,15.8,-1.5,99.5
12.7,16,-0.1,100.1
12.8,16.1,0.9,99.8
13,16.2,3.1,99.3
13.2,16.2,5.7,98.5
13.4,16.3,7.5,98.1
13.6,16.4,9.1,97.3
13.7,16.7,9.8,98.4
13.8,16.9,10.2,98.1
