ipi,ipic
51.6,52
47.8,52.3
54.5,52.4
51.5,51.6
54.3,53.6
53.4,52.9
54,55.2
54.1,56.3
52.8,54.9
56.6,54.5
55.5,53.2
54.4,53
49.5,53.2
50.6,52.6
55.3,53.1
53.8,53.2
55.2,53.7
53.9,53.4
51.8,52.9
52.3,54.4
55,54.3
54.9,54.8
57,54.7
55.2,53.8
56.3,55.6
50,56.5
59.2,57.6
59.5,58
59.9,57.4
55.1,56.3
57.1,58.3
56.8,59.1
56,58.2
62.4,59.1
62.2,59.7
61.4,60.8
58.8,59.7
55.3,59.9
62.3,60.6
60.9,59.5
59.8,59
60.1,60.5
57.9,58.3
57.9,61.2
60.2,62.5
67.6,64.1
65.5,63.8
68.3,65.7
61.7,66
65.2,68
70.1,67.2
68,67.4
68.1,68.2
68,66.5
65.5,65.9
64.1,66.8
65.9,68.1
71.3,67.9
71.9,69
71.1,68.4
70.6,70.5
60.8,68.9
73.9,70.8
71.4,69.8
71.6,69.6
70.9,70.4
70.6,70.9
68.1,71
70,71.6
76,73.2
79.5,76.3
78.8,74.7
74.6,78.1
72.1,75.7
80.3,76.9
76.9,75.9
78.7,77.6
77.5,76.8
71.7,72.9
74.9,78.1
82.6,79.6
79.6,82.5
85.2,81.9
80.5,78.7
81.1,79.8
72,80.5
83.1,79.5
81.8,80.8
83.2,82
82.7,81.9
81.5,82.7
81.7,85.2
80.2,84.3
92.4,88
91.7,88.2
88,87.3
90.8,89.4
79.8,89.2
92.1,89.4
90.9,89.8
90.9,89.6
88.7,89
88.7,88.5
83.5,88.4
85.5,87.4
91,86.7
79.3,77.5
71.9,69.4
67.8,71.3
72.4,75.8
82.9,79.3
84.2,82
83.4,83.3
88.2,87.1
89.5,89.2
84.6,89.6
95.9,92.9
92,91.2
93.9,91.9
96.9,93.5
94.1,93.8
86.1,96.2
101.7,97.3
101.2,98.7
100.1,100.1
102.3,100.9
102.2,101.7
96.5,100.8
97.5,101.1
105.2,100.5
105.4,101.8
107.7,103.9
105.3,105.7
92,103.6
110.6,105.8
106.8,104.2
107.2,105.5
108.4,106.7
106,106.9
101.6,106.3
104.4,106.8
109.7,106.4
109.3,105.6
110.2,104.6
102,107.5
106.1,109.1
111.6,106.8
106.8,107.2
110.7,108.9
109.2,107.4
106,106.7
100.3,104.7
104.7,106.1
108.8,106.8
112.6,108.8
110.3,109.3
110.9,109.1
96.9,108.1
109.2,106.2
109.1,106.5
110.2,106.9
107.4,107.1
107.5,106.5
103.5,108.2
100.7,105.9
112.7,108.1
111.8,108.2
113,110.5
106.1,110.3
100.9,108.2
112.2,109.2
