M1,GDPSA
259.77,638.1
257.77,658.8
274.07,708
298.6,770.2
316.77,802.6
327.23,850.4
323.1,878.5
363.07,902.9
378.07,948.2
382.5,1035.8
428.7,1095.1
505.9,1162
578.27,1220.4
604.4,1304.6
657,1447
722.47,1527
778.43,1807
754.4,1863.4
770.37,1981.1
884.13,2194
944.47,2341.2
943.23,2560
1074.13,2684.4
1138.5,2892.2
1235.2,3239.3
1269.57,3565.5
1363.97,3736.1
1474.53,3869.8
1664.33,4109.3
1736,4415.9
1915.63,4781.9
2161.67,5194.9
2389.3,5510.5
2365.1,5998
2709.7,6469.6
2994.6,6966.6
3260.67,7430.6
3222.7,7830.4
3344.5,8221.3
3700.97,8567.1
4006.5,9057.5
3847.33,9499.6
4107,10043.4
4342.9,10509.2
4759.23,11231.7
4912.63,12118.7
5319.9,12733.7
5490.23,13221.6
6260.77,13356.6
6855.67,13989.4
8321.63,14374
9300.13,14956.8
9538.53,15799.5
9566.1,16357.2
10046.2,16947.4
10538.87,17581
10863.37,18198.8
10814.03,18844.4
11315.73,19647.9
11623.07,19832.4
12140.77,20123.2
12724.63,20995.9
13231.1,21956.4
13925.63,22623.6
15165.27,23575
16177.27,24390.5
17259.87,25812.4
18240.57,26476.2
19373.17,27369.2
20332.67,28931.4
21678.23,30054.5
23741.93,31583
24910.33,33697.4
25370.2,33960.7
27309.17,35692.7
28731.17,37173.9
29736.77,37611.9
29831.93,38525.9
30918.07,39872.7
32095.97,42609.5
36109.87,44605.5
37562.7,46567.6
38063.8,49316.3
40479.07,50893.4
44214.3,54262.6
44465.5,56694
45770.5,58810.3
48526.47,61661.4
52779.4,63462.5
53287.1,65575.1
55158.57,66651.9
60174.4,68303.7
64099.27,70636.9
65955.1,73806
69294.03,75875.4
73076.87,78443.2
74575.37,82604.6
75759.4,85503
79166.97,88846.3
82157.97,93018.7
85746.43,96797.6
85439.1,101339.7
87798.4,105105.8
91841.33,106410.5
96076.57,111296.2
96816.47,113996.6
99846.47,116737.9
106508.17,118921.8
113567.2,120507.7
113376.77,125195
118552.43,128321.7
126355.6,132289.3
120023.7,128387.2
102618.13,123269.5
111139.4,124028.7
120856.43,125341.8
127573.33,131218.7
139958.4,133686.2
154976.2,140070.8
166632.93,144029.3
173198.37,148379.6
182424,148929
187613.4,152681.3
190163.83,153246.1
202638.63,159764.3
205869.53,162358.2
219365.77,164864.3
237895.47,164428.4
256941.67,175073.6
263279.63,179524.2
263798.17,180877.5
276149.93,185063.6
283414.8,187714.2
277732.97,189282.4
281278.23,191581
291163.5,198536
304054.47,202779.2
304140.57,205920.8
305670.63,208354.2
313504.13,209838.6
328551.4,211590.3
334325.9,213634.2
346926.5,218097.5
321804.57,221918.8
326600.77,223598.3
325026.73,224113.1
327958.1,228660.2
340950.67,232372.3
346558.57,237348.2
303099.57,240673.5
299829.9,244465
301841.1,252526.3
303413.83,255557.3
302742.83,260225.6
306063.63,259915.8
316874.1,250753.1
336218.9,253365.9
356159.77,263891.6
363834.7,272610.3
373162.9,275169
385030.73,284520.9
394395.9,292304.4
403027.03,294599.8
415195.6,301849.8
430929.17,304267.4
423766.83,305996.3
422272.93,309735.6
425731.4,315161.2
438874.07,317744
439283.87,317165.7
440456.03,317741.2
449240.2,319808.5
469861.4,325159.1
479148.07,328162
486972.77,331500.5
500269.5,332799.8
