spi,cpi,er,house,apt,rc
884.20 ,46.31 ,682.42 ,53.30 ,36.10 ,13.40 
902.20 ,46.47 ,676.99 ,55.00 ,38.00 ,13.70 
965.90 ,46.79 ,672.97 ,56.60 ,39.40 ,13.80 
959.10 ,46.99 ,667.36 ,58.90 ,41.80 ,14.50 
936.90 ,47.58 ,666.56 ,59.40 ,42.20 ,15.90 
900.80 ,47.66 ,666.71 ,59.50 ,42.10 ,16.10 
886.60 ,47.62 ,667.28 ,59.40 ,41.60 ,16.30 
922.40 ,47.98 ,668.38 ,59.40 ,41.60 ,16.20 
951.60 ,48.42 ,670.03 ,59.50 ,41.50 ,15.60 
913.00 ,48.54 ,671.27 ,59.80 ,41.90 ,15.80 
898.70 ,48.61 ,672.33 ,60.20 ,42.10 ,15.50 
901.80 ,48.58 ,675.17 ,60.40 ,42.30 ,15.40 
898.00 ,49.70 ,683.43 ,61.00 ,42.90 ,15.40 
867.20 ,50.01 ,689.87 ,64.00 ,45.00 ,15.20 
845.50 ,50.53 ,697.78 ,65.50 ,46.50 ,15.00 
785.50 ,51.10 ,706.03 ,67.50 ,48.70 ,15.50 
771.70 ,51.66 ,709.26 ,68.30 ,49.60 ,16.10 
766.70 ,51.92 ,715.33 ,68.50 ,50.10 ,16.10 
698.20 ,52.08 ,715.94 ,68.70 ,50.40 ,15.90 
637.40 ,52.28 ,715.54 ,69.20 ,51.30 ,16.30 
602.20 ,52.60 ,714.96 ,71.00 ,53.00 ,17.30 
682.80 ,52.75 ,715.00 ,72.00 ,54.30 ,18.20 
696.40 ,52.80 ,714.32 ,72.90 ,55.50 ,18.20 
712.50 ,53.11 ,715.73 ,73.20 ,55.90 ,18.50 
647.50 ,54.25 ,718.14 ,73.60 ,56.50 ,18.50 
654.70 ,54.97 ,721.61 ,74.50 ,57.40 ,18.20 
670.60 ,55.65 ,725.11 ,75.70 ,58.80 ,18.50 
638.30 ,55.90 ,725.48 ,77.40 ,60.60 ,18.80 
630.20 ,56.06 ,725.13 ,77.30 ,60.50 ,18.70 
604.70 ,56.42 ,725.37 ,77.00 ,59.90 ,19.10 
646.30 ,56.78 ,728.96 ,76.60 ,59.50 ,18.90 
710.60 ,57.25 ,731.12 ,76.30 ,59.10 ,18.80 
684.30 ,57.56 ,739.74 ,76.00 ,58.60 ,19.50 
705.20 ,57.66 ,748.96 ,75.50 ,57.90 ,19.60 
668.10 ,57.92 ,753.05 ,74.00 ,56.20 ,19.30 
625.10 ,58.02 ,757.28 ,72.80 ,54.90 ,19.00 
639.80 ,58.44 ,762.66 ,72.40 ,54.60 ,18.30 
651.30 ,58.80 ,765.74 ,72.30 ,54.50 ,17.20 
615.80 ,59.42 ,771.19 ,72.10 ,54.30 ,17.70 
588.40 ,59.78 ,778.28 ,71.70 ,53.90 ,17.60 
589.30 ,60.15 ,782.78 ,70.90 ,53.20 ,17.10 
564.50 ,60.25 ,789.07 ,70.10 ,52.30 ,17.10 
523.00 ,60.51 ,787.15 ,69.50 ,51.90 ,16.30 
496.30 ,60.61 ,789.32 ,69.60 ,52.30 ,15.80 
537.10 ,60.82 ,785.55 ,70.10 ,53.00 ,15.90 
544.90 ,60.77 ,783.65 ,70.00 ,52.90 ,14.00 
645.10 ,60.46 ,784.04 ,69.60 ,52.60 ,13.40 
650.30 ,60.61 ,788.62 ,69.10 ,52.10 ,14.00 
696.30 ,61.08 ,791.99 ,69.00 ,52.10 ,13.30 
668.80 ,61.49 ,796.45 ,69.30 ,52.50 ,12.50 
645.90 ,62.27 ,793.25 ,69.30 ,52.60 ,11.40 
713.50 ,62.63 ,795.79 ,69.00 ,52.20 ,11.30 
719.80 ,62.84 ,799.99 ,68.60 ,51.90 ,11.50 
760.40 ,63.14 ,802.68 ,68.20 ,51.50 ,12.40 
752.00 ,63.09 ,806.20 ,67.90 ,51.30 ,12.90 
708.50 ,63.30 ,808.81 ,67.70 ,51.10 ,13.80 
692.50 ,63.61 ,808.57 ,67.50 ,51.00 ,14.00 
733.00 ,63.87 ,810.21 ,67.50 ,51.00 ,13.40 
798.40 ,63.77 ,807.12 ,67.30 ,50.90 ,12.80 
848.80 ,64.13 ,809.40 ,67.10 ,50.80 ,12.20 
890.40 ,64.95 ,810.48 ,67.10 ,50.80 ,12.00 
933.30 ,65.68 ,809.23 ,67.20 ,51.00 ,12.10 
889.20 ,66.25 ,807.54 ,67.20 ,51.00 ,12.40 
884.00 ,66.35 ,808.56 ,67.10 ,51.00 ,12.40 
942.40 ,66.40 ,806.55 ,67.10 ,50.90 ,12.30 
926.70 ,66.87 ,806.64 ,67.00 ,50.90 ,12.40 
944.70 ,67.44 ,805.12 ,66.90 ,50.90 ,12.60 
938.90 ,67.95 ,803.46 ,67.00 ,50.90 ,13.30 
1002.40 ,67.75 ,800.73 ,67.10 ,51.10 ,13.70 
1085.30 ,67.54 ,798.76 ,67.10 ,51.20 ,13.80 
1110.30 ,67.64 ,796.33 ,67.10 ,51.10 ,13.80 
1040.70 ,67.70 ,791.86 ,67.10 ,51.10 ,14.20 
965.30 ,68.33 ,790.48 ,67.00 ,51.10 ,14.90 
929.70 ,68.61 ,790.73 ,67.00 ,51.20 ,15.30 
942.40 ,69.31 ,778.69 ,67.10 ,51.30 ,15.00 
902.70 ,69.73 ,767.50 ,67.10 ,51.40 ,14.70 
884.20 ,69.87 ,761.40 ,67.00 ,51.40 ,14.90 
884.30 ,69.66 ,761.04 ,67.00 ,51.40 ,14.70 
945.70 ,69.87 ,757.01 ,66.90 ,51.30 ,14.20 
916.90 ,70.29 ,767.96 ,66.90 ,51.40 ,13.20 
971.20 ,70.92 ,772.35 ,67.00 ,51.50 ,12.90 
999.00 ,70.57 ,767.40 ,67.00 ,51.50 ,12.20 
957.30 ,70.43 ,769.41 ,66.90 ,51.50 ,12.00 
918.10 ,70.92 ,771.08 ,66.90 ,51.50 ,11.70 
866.10 ,71.61 ,787.27 ,67.00 ,51.60 ,12.00 
874.80 ,71.89 ,780.28 ,67.10 ,51.80 ,11.90 
857.40 ,72.38 ,781.25 ,67.30 ,52.10 ,11.80 
920.20 ,72.87 ,780.43 ,67.40 ,52.10 ,11.00 
942.60 ,73.29 ,780.16 ,67.40 ,52.10 ,11.00 
867.70 ,73.29 ,797.96 ,67.30 ,52.10 ,11.60 
832.20 ,73.64 ,812.76 ,67.30 ,52.10 ,11.90 
805.40 ,73.99 ,816.81 ,67.40 ,52.20 ,12.30 
783.40 ,74.13 ,821.76 ,67.70 ,52.70 ,12.20 
806.70 ,74.13 ,827.61 ,67.80 ,52.90 ,12.10 
740.90 ,74.13 ,828.18 ,67.90 ,53.00 ,12.20 
690.60 ,74.41 ,839.02 ,67.90 ,53.30 ,12.60 
669.60 ,74.97 ,849.88 ,68.70 ,54.40 ,12.20 
698.10 ,75.39 ,866.85 ,69.30 ,55.30 ,12.20 
656.70 ,75.67 ,879.41 ,69.50 ,55.60 ,12.70 
