ipi,ipic
71.8,68.8
66.5,70.2
75.9,71.3
71.7,72.2
75.6,73.1
74.3,71.7
75.1,73.2
75.3,75.2
73.5,76.8
78.7,75.9
77.2,74
75.7,73.3
68.8,72.9
70.3,72.2
77,72.7
74.9,74.3
76.8,73.8
75.1,73.3
72,71.1
72.7,72.5
76.6,74.5
76.4,76.5
79.3,75.3
76.8,75.5
78.4,74.7
69.6,79.5
82.3,79.4
82.8,79.9
83.3,78.5
76.7,78.5
79.5,77.5
79.1,79.1
78,81.7
86.9,82.4
86.6,83.1
85.4,83.3
81.8,80.2
76.9,82.5
86.7,83.7
84.8,82.1
83.2,82.2
83.7,83.5
80.6,79.5
80.6,82.9
83.7,88.6
94,89.6
91.2,89.5
95,90
85.9,91.5
90.8,92.4
97.5,92.7
94.6,93.3
94.8,94.9
94.6,91.4
91.1,87.7
89.2,91.5
91.7,98
99.2,96.5
100,96.5
99,94.1
98.3,96
84.6,99.1
102.9,98.4
99.3,99.1
99.7,97.7
98.7,97.6
98.3,97
94.8,97.3
97.4,100.4
105.7,105.1
110.6,107.4
109.6,104.9
103.8,105.7
100.4,105.3
111.8,107.4
107,107.6
109.5,107.5
107.9,106.9
99.8,100.9
104.3,106.8
115,113.5
110.8,116.7
118.5,115.4
112,111.5
112.7,109.5
100.2,112
115.5,112.2
113.6,112.9
115.7,112.6
115,115.5
113.3,113.5
113.5,114.8
111.4,122.8
128.4,123.8
127.5,124.2
122.5,122.9
125.3,120.8
110.5,121.8
127.4,124.9
125.7,123.7
125.7,126
122.7,123.7
