kospi,er
696.3 ,792.0 
668.8 ,796.5 
645.9 ,793.3 
713.5 ,795.8 
719.8 ,800.0 
760.4 ,802.7 
752.0 ,806.2 
708.5 ,808.8 
692.5 ,808.6 
733.0 ,810.2 
798.4 ,807.1 
848.8 ,809.4 
890.4 ,810.5 
933.3 ,809.2 
889.2 ,807.5 
884.0 ,808.6 
942.4 ,806.6 
926.7 ,806.6 
944.7 ,805.1 
938.9 ,803.5 
1002.4 ,800.7 
1085.3 ,798.8 
1110.5 ,796.3 
1040.7 ,791.9 
965.3 ,790.5 
929.7 ,790.7 
942.4 ,778.7 
902.7 ,767.5 
884.2 ,761.4 
884.3 ,761.0 
945.7 ,757.0 
916.9 ,768.0 
971.2 ,772.4 
999.0 ,767.4 
957.3 ,769.4 
918.1 ,771.1 
866.1 ,787.3 
874.8 ,780.3 
857.4 ,781.3 
920.2 ,780.4 
942.6 ,780.2 
867.7 ,798.0 
832.2 ,812.8 
805.4 ,816.8 
783.4 ,821.8 
806.7 ,827.6 
740.9 ,828.2 
690.6 ,839.0 
669.6 ,849.9 
698.1 ,866.9 
656.7 ,879.4 
694.3 ,893.6 
713.1 ,892.1 
765.2 ,889.5 
752.3 ,890.5 
740.5 ,895.9 
676.5 ,909.5 
584.1 ,921.9 
494.1 ,1025.6 
390.3 ,1484.1 
475.2 ,1706.8 
525.2 ,1623.1 
523.0 ,1505.3 
444.2 ,1392.0 
356.3 ,1394.6 
313.3 ,1397.2 
327.8 ,1300.8 
312.8 ,1303.2 
312.2 ,1370.8 
358.8 ,1336.7 
429.2 ,1294.1 
524.7 ,1213.7 
597.6 ,1176.9 
533.0 ,1186.8 
586.2 ,1229.2 
721.1 ,1208.9 
745.4 ,1197.0 
841.4 ,1169.6 
971.4 ,1186.0 
933.1 ,1199.8 
926.9 ,1197.0 
828.6 ,1206.4 
950.1 ,1177.2 
984.5 ,1138.4 
952.5 ,1131.1 
902.7 ,1128.8 
878.4 ,1117.2 
779.8 ,1109.8 
720.8 ,1120.0 
795.1 ,1118.7 
794.1 ,1114.9 
720.4 ,1114.6 
622.9 ,1116.5 
548.1 ,1127.3 
544.1 ,1151.2 
526.4 ,1214.4 
585.0 ,1272.8 
593.4 ,1252.4 
543.9 ,1288.4 
530.3 ,1325.6 
600.7 ,1298.5 
602.9 ,1293.8 
554.1 ,1302.6 
567.7 ,1285.4 
504.0 ,1293.7 
523.3 ,1302.6 
604.9 ,1284.0 
666.0 ,1289.7 
739.0 ,1317.6 
774.4 ,1318.7 
864.7 ,1322.5 
894.0 ,1318.9 
842.2 ,1266.1 
784.3 ,1223.5 
753.7 ,1185.1 
713.2 ,1196.4 
703.0 ,1208.5 
642.2 ,1241.1 
679.7 ,1211.9 
699.8 ,1208.9 
631.0 ,1179.3 
591.6 ,1191.2 
550.8 ,1232.4 
585.9 ,1232.8 
613.5 ,1199.8 
663.2 ,1194.0 
703.5 ,1181.6 
731.7 ,1178.4 
742.3 ,1166.2 
756.5 ,1166.3 
789.1 ,1184.9 
801.2 ,1193.0 
845.5 ,1184.3 
867.5 ,1166.7 
875.6 ,1166.3 
907.1 ,1150.9 
798.8 ,1177.4 
771.6 ,1158.7 
746.1 ,1157.7 
770.3 ,1159.0 
835.9 ,1148.0 
849.1 ,1144.0 
863.1 ,1091.2 
873.1 ,1050.9 
903.4 ,1038.2 
964.5 ,1022.4 
988.2 ,1007.5 
955.4 ,1010.9 
939.0 ,1002.2 
991.3 ,1010.9 
1058.7 ,1037.4 
1101.8 ,1021.2 
1171.0 ,1029.3 
1190.9 ,1046.3 
1253.3 ,1041.4 
1338.8 ,1024.2 
1379.3 ,987.0 
1341.7 ,970.2 
1331.7 ,975.1 
1415.9 ,954.4 
1388.8 ,941.4 
1249.2 ,955.2 
1278.0 ,950.2 
1316.1 ,960.7 
1356.5 ,953.7 
1354.0 ,954.2 
1403.9 ,936.2 
1418.8 ,925.8 
1379.3 ,936.4 
1434.9 ,937.0 
1431.6 ,943.3 
1517.1 ,931.5 
1614.9 ,927.9 
1754.3 ,928.3 
1911.6 ,918.9 
1815.0 ,933.8 
1879.0 ,932.4 
2004.6 ,915.9 
1924.8 ,917.0 
1904.0 ,930.2 
1732.3 ,942.4 
1689.5 ,944.7 
1651.2 ,979.9 
1776.6 ,986.7 
1846.8 ,1036.7 
1758.2 ,1029.3 
1569.6 ,1019.1 
1537.6 ,1041.5 
1446.6 ,1130.4 
1201.7 ,1326.9 
1074.0 ,1390.1 
1114.9 ,1373.8 
1156.4 ,1346.1 
1139.8 ,1429.5 
1140.5 ,1462.0 
1322.1 ,1341.9 
1400.5 ,1258.7 
1395.2 ,1261.4 
1460.0 ,1264.0 
1577.9 ,1238.4 
1659.5 ,1219.2 
1630.6 ,1175.3 
1583.5 ,1164.2 
1646.6 ,1166.5 
1682.2 ,1138.8 
1599.0 ,1157.1 
1665.5 ,1137.6 
1730.3 ,1117.1 
1648.3 ,1163.1 
1691.9 ,1212.3 
1731.1 ,1207.3 
1762.2 ,1179.9 
1815.8 ,1167.0 
1889.7 ,1123.5 
1924.7 ,1126.2 
2002.5 ,1147.6 
2091.6 ,1120.1 
2002.9 ,1118.1 
2002.7 ,1122.5 
2153.1 ,1086.8 
2121.9 ,1083.5 
2074.6 ,1081.3 
2150.1 ,1059.5 
1869.4 ,1073.2 
1791.0 ,1118.6 
1825.9 ,1155.5 
1858.8 ,1132.3 
1863.2 ,1147.5 
1891.0 ,1145.9 
2003.2 ,1123.4 
2023.4 ,1125.9 
1995.9 ,1135.6 
1886.4 ,1154.3 
1848.6 ,1165.5 
1826.8 ,1143.4 
1918.9 ,1131.7 
1961.3 ,1124.8 
1942.2 ,1106.9 
1904.7 ,1087.5 
1973.8 ,1077.0 
1986.1 ,1065.4 
1979.9 ,1086.7 
1990.2 ,1102.2 
1938.9 ,1121.8 
1974.5 ,1110.7 
1884.4 ,1135.2 
1871.8 ,1127.2 
1897.0 ,1117.0 
1984.4 ,1087.4 
2029.7 ,1066.8 
2009.9 ,1062.8 
1988.3 ,1056.7 
1948.2 ,1064.8 
1937.7 ,1071.3 
1952.4 ,1070.9 
1991.2 ,1044.6 
1994.1 ,1025.0 
1995.1 ,1019.4 
